Unnamed: 0,addr,역명,지하철 거리,addr.1,학교명,학교 거리,addr.2,기관명,병원 거리,면적당금액
4075,강남구 역삼동 832-16,강남,504.3424241361695,강남구 역삼동 832-16,서울역삼초등학교,211.5938959628641,강남구 역삼동 832-16,강남성모이비인후과의원,44.72551370222467,1729.046178
4076,강남구 역삼동 832-3,강남,547.7833446476245,강남구 역삼동 832-3,서울역삼초등학교,232.604233310686,강남구 역삼동 832-3,성모힐정신건강의학과의원,20.38322383294296,890.4109589
4077,강남구 역삼동 708-26,선릉,111.58083151012367,강남구 역삼동 708-26,진선여자중학교,184.2342573319328,강남구 역삼동 708-26,더클렌시아의원,13.19509393962009,890.154887
4078,강남구 역삼동 778-13,한티,822.9701971575204,강남구 역삼동 778-13,도곡중학교,383.5310527428433,강남구 역삼동 778-13,엔젤미치과의원,173.6153824506604,2004.677581
4079,강남구 역삼동 832-16,강남,504.3424241361695,강남구 역삼동 832-16,서울역삼초등학교,211.5938959628641,강남구 역삼동 832-16,강남성모이비인후과의원,44.72551370222467,1729.046178
4080,강남구 역삼동 708-26,선릉,111.58083151012367,강남구 역삼동 708-26,진선여자중학교,184.2342573319328,강남구 역삼동 708-26,더클렌시아의원,13.19509393962009,890.154887
4081,강남구 역삼동 735-17,역삼,368.1084206842923,강남구 역삼동 735-17,서울역삼초등학교,621.9018209908597,강남구 역삼동 735-17,김민정한의원,73.72637355165885,1079.497908
4082,강남구 역삼동 728-33,역삼,455.59327427398006,강남구 역삼동 728-33,역삼중학교,746.7629486123981,강남구 역삼동 728-33,닥터퀸스의원,147.22456725508346,695.8762887
4083,강남구 역삼동 774-42,한티,752.1924841418457,강남구 역삼동 774-42,역삼중학교,381.0831870296544,강남구 역삼동 774-42,아미치과의원,68.77022626499645,2043.539326
4084,강남구 역삼동 837-13,강남,657.8636988865194,강남구 역삼동 837-13,서울역삼초등학교,162.20041443358582,강남구 역삼동 837-13,성모아이한의원,34.147473945744544,879.7653959
4085,강남구 역삼동 824-25,강남,275.5249564621078,강남구 역삼동 824-25,서울서초초등학교,564.8098123100497,강남구 역삼동 824-25,강남담온한의원,49.16236136098159,753.6973834
4086,강남구 역삼동 828-28,역삼,454.6008804502247,강남구 역삼동 828-28,서울역삼초등학교,513.8210857862704,강남구 역삼동 828-28,참진한의원,130.05793378940805,1174.398121
4087,강남구 역삼동 825-20,강남,125.86647652152756,강남구 역삼동 825-20,서울서초초등학교,410.8609732635056,강남구 역삼동 825-20,강남미래영상의학과의원,6.307773007091647,1340.918326
4088,강남구 역삼동 832-3,강남,547.7833446476245,강남구 역삼동 832-3,서울역삼초등학교,232.604233310686,강남구 역삼동 832-3,성모힐정신건강의학과의원,20.38322383294296,890.4109589
4089,강남구 역삼동 824-25,강남,275.5249564621078,강남구 역삼동 824-25,서울서초초등학교,564.8098123100497,강남구 역삼동 824-25,강남담온한의원,49.16236136098159,753.6973834
4090,강남구 역삼동 824-25,강남,275.5249564621078,강남구 역삼동 824-25,서울서초초등학교,564.8098123100497,강남구 역삼동 824-25,강남담온한의원,49.16236136098159,753.6973834
4091,강남구 역삼동 832-3,강남,547.7833446476245,강남구 역삼동 832-3,서울역삼초등학교,232.604233310686,강남구 역삼동 832-3,성모힐정신건강의학과의원,20.38322383294296,890.4109589
4092,강남구 역삼동 605-17,언주,116.16851072802612,강남구 역삼동 605-17,서울논현초등학교,631.9751858544803,강남구 역삼동 605-17,리리유의원,48.57207908554344,1557.210562
4093,강남구 역삼동 605-17,언주,116.16851072802612,강남구 역삼동 605-17,서울논현초등학교,631.9751858544803,강남구 역삼동 605-17,리리유의원,48.57207908554344,1557.210562
